epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.315,0.87349,0.57578,0.90022,0.94918,0.91412,0.95713,0.68778,0.91965,0.63781,0.91376,0.00199377,0.00199377,0.00199377
2,579.649,0.8273,0.50191,0.88926,0.95087,0.94665,0.97734,0.77939,0.72931,0.48067,0.85099,0.00101,0.00101,0.00101
